,Released,Genre,Country,imdbRating
0,1937,Western,USA,348.0
1,1947,Crime,USA,50427.3
2,1947,Drama,USA,1240393.65
3,1947,Family,USA,2430360.0
4,1947,Fantasy,USA,2430360.0
5,1947,Film-Noir,USA,50427.3
6,1954,Comedy,USA,1641.4
7,1954,Musical,USA,1641.4
8,1954,Romance,USA,1641.4
9,1968,Adventure,UK,3634835.6
10,1968,Adventure,USA,3634835.6
11,1968,Mystery,UK,3634835.6
12,1968,Mystery,USA,3634835.6
13,1968,Sci-Fi,UK,3634835.6
14,1968,Sci-Fi,USA,3634835.6
15,1974,Comedy,USA,84502.5
16,1974,Family,USA,84502.5
17,1974,Music,USA,84502.5
18,1977,Action,USA,8071364.1
19,1977,Adventure,Japan,68550.8
20,1977,Adventure,USA,7182162.62222
21,1977,Animation,Japan,68550.8
22,1977,Animation,USA,68550.8
23,1977,Family,Japan,68550.8
24,1977,Family,USA,68550.8
25,1977,Fantasy,USA,8071364.1
26,1978,Adventure,USA,20942.4
27,1978,Family,USA,20942.4
28,1978,Musical,USA,20942.4
29,1986,Action,USA,690054.4
30,1986,Adventure,USA,690054.4
31,1986,Comedy,USA,690054.4
32,1986,Drama,USA,60951.2
33,1986,Romance,USA,60951.2
34,1986,Sport,USA,60951.2
35,1987,Action,Canada,2319.2
36,1987,Action,USA,510623.733333
37,1987,Adventure,USA,574161.8
38,1987,Comedy,USA,153901.5
39,1987,Crime,USA,153901.5
40,1987,Drama,Canada,2319.2
41,1987,Drama,Japan,66.0
42,1987,Drama,USA,2319.2
43,1987,Mystery,USA,574161.8
44,1987,Thriller,Canada,2319.2
45,1987,Thriller,USA,2319.2
46,1991,Comedy,USA,12452.6
47,1991,Drama,USA,12452.6
48,1991,Talk-Show,USA,12452.6
49,1995,Action,USA,301786.1
50,1995,Adventure,USA,301786.1
51,1995,Sci-Fi,USA,301786.1
52,1997,Comedy,USA,1532516.0
53,1997,Fantasy,USA,1532516.0
54,2000,Drama,Japan,405727.2
55,2000,Horror,Japan,405727.2
56,2000,Mystery,Japan,405727.2
57,2001,Action,Brazil,253.0
58,2001,Action,Japan,2906.55
59,2001,Action,USA,385706.375
60,2001,Adventure,Brazil,253.0
61,2001,Animation,France,55.3
62,2001,Animation,Japan,5297.2
63,2001,Animation,UK,1260.0
64,2001,Animation,USA,34512.3333333
65,2001,Comedy,Belgium,72.9
66,2001,Comedy,China,35.7
67,2001,Comedy,France,11662.0
68,2001,Comedy,Germany,8243.1
69,2001,Comedy,Ireland,631.8
70,2001,Comedy,Sweden,251.6
71,2001,Comedy,UK,1618.5
72,2001,Comedy,USA,42498.3875
73,2001,Crime,Japan,515.9
74,2001,Crime,Singapore,80.0
75,2001,Crime,UK,716.9
76,2001,Crime,USA,417575.6
77,2001,Documentary,Australia,166.0
78,2001,Documentary,France,136.8
79,2001,Documentary,New Zealand,118.4
80,2001,Documentary,UK,60.3
81,2001,Documentary,USA,414.733333333
82,2001,Drama,Argentina,2438.4
83,2001,Drama,Brazil,253.0
84,2001,Drama,China,35.7
85,2001,Drama,France,11662.0
86,2001,Drama,Germany,3301.8
87,2001,Drama,Ireland,631.8
88,2001,Drama,Italy,140.4
89,2001,Drama,Mexico,99.4
90,2001,Drama,Portugal,1152.9
91,2001,Drama,Spain,2438.4
92,2001,Drama,UK,425.65
93,2001,Drama,USA,157641.309091
94,2001,Family,New Zealand,118.4
95,2001,Family,USA,51540.65
96,2001,Game-Show,USA,35.1
97,2001,History,Australia,166.0
98,2001,History,Portugal,1152.9
99,2001,History,USA,96.2
100,2001,Horror,Australia,96.0
101,2001,Horror,Belgium,102.4
102,2001,Horror,UK,2878.6
103,2001,Horror,USA,519.55
104,2001,Music,Brazil,2902.9
105,2001,Music,Norway,53.2
106,2001,Music,Philippines,92.3
107,2001,Music,UK,60.3
108,2001,Music,USA,275.733333333
109,2001,Mystery,Japan,5297.2
110,2001,Mystery,USA,146799.5
111,2001,News,France,136.8
112,2001,News,Norway,53.2
113,2001,Reality-TV,France,443.9
114,2001,Reality-TV,Germany,3165.0
115,2001,Reality-TV,USA,35.1
116,2001,Romance,Argentina,2438.4
117,2001,Romance,Australia,212.4
118,2001,Romance,Germany,4245.5
119,2001,Romance,Mexico,99.4
120,2001,Romance,Spain,2438.4
121,2001,Romance,UK,68.0
122,2001,Romance,USA,47524.6125
123,2001,Sci-Fi,Japan,515.9
124,2001,Sci-Fi,USA,497.0
125,2001,Short,France,96.05
126,2001,Short,Portugal,82.5
127,2001,Short,USA,307.0
128,2001,Sport,USA,192.1
129,2001,Talk-Show,Belgium,72.9
130,2001,Thriller,Germany,831.15
131,2001,Thriller,USA,490.033333333
132,2001,War,Australia,166.0
133,2001,War,Canada,2573.0
134,2001,War,Netherlands,18.2
135,2001,War,UK,686.0
136,2001,War,USA,1802.3
137,2002,Action,Argentina,1672.4
138,2002,Action,Canada,3857.93333333
139,2002,Action,France,5857.8
140,2002,Action,Germany,10179.6
141,2002,Action,Ireland,10179.6
142,2002,Action,Morocco,112.2
143,2002,Action,New Zealand,2371.6
144,2002,Action,UK,4252.8
145,2002,Action,USA,716374.3
146,2002,Adult,India,63.0
147,2002,Adventure,Australia,39549.95
148,2002,Adventure,Canada,26990.7333333
149,2002,Adventure,France,5857.8
150,2002,Adventure,Germany,979571.066667
151,2002,Adventure,Ireland,10179.6
152,2002,Adventure,New Zealand,2371.6
153,2002,Adventure,UK,980063.866667
154,2002,Adventure,USA,1224581.46667
155,2002,Animation,Argentina,1672.4
156,2002,Animation,Australia,78932.2
157,2002,Animation,Canada,39987.5
