,Genre,Language,Awards_won,Awards_nominated
0,Action,Arabic,122.0,401.0
1,Action,Bulgarian,32.0,143.0
2,Action,Cantonese,71.0,303.0
3,Action,Danish,13.0,30.0
4,Action,Dutch,42.0,159.0
5,Action,Egyptian (Ancient),0.0,2.0
6,Action,English,1867.0,4111.0
7,Action,Filipino,23.0,32.0
8,Action,Flemish,4.0,11.0
9,Action,French,369.0,839.0
10,Action,German,147.0,459.0
11,Action,Hebrew,36.0,168.0
12,Action,Hindi,54.0,221.0
13,Action,Hungarian,36.0,154.0
14,Action,Icelandic,0.0,4.0
15,Action,Indonesian,40.0,164.0
16,Action,Irish,0.0,2.0
17,Action,Italian,51.0,196.0
18,Action,Japanese,69.0,293.0
19,Action,Klingon,310.0,611.0
20,Action,Korean,86.0,256.0
21,Action,Lingala,6.0,5.0
22,Action,Mandarin,111.0,361.0
23,Action,Maya,1.0,11.0
24,Action,North American Indian,4.0,19.0
25,Action,Persian,4.0,1.0
26,Action,Polish,0.0,4.0
27,Action,Polynesian,10.0,23.0
28,Action,Portuguese,50.0,203.0
29,Action,Romanian,34.0,150.0
30,Action,Russian,420.0,1055.0
31,Action,Serbian,70.0,205.0
32,Action,Spanish,223.0,734.0
33,Action,Swahili,2.0,6.0
34,Action,Swedish,8.0,37.0
35,Action,Tagalog,23.0,32.0
36,Action,Thai,33.0,145.0
37,Action,Turkish,2.0,5.0
38,Action,Ukrainian,36.0,144.0
39,Action,Urdu,1.0,1.0
40,Action,Uzbek,32.0,143.0
41,Action,Vietnamese,15.0,43.0
42,Action,Xhosa,2.0,7.0
43,Adult,English,8.0,13.0
44,Adventure,Aboriginal,2.0,18.0
45,Adventure,Arabic,9.0,44.0
46,Adventure,Bulgarian,8.0,14.0
47,Adventure,Cantonese,5.0,46.0
48,Adventure,Catalan,3.0,10.0
49,Adventure,Czech,0.0,5.0
50,Adventure,Danish,23.0,104.0
51,Adventure,Dutch,1.0,4.0
52,Adventure,Egyptian (Ancient),0.0,2.0
53,Adventure,English,2469.0,4662.0
54,Adventure,Filipino,3.0,0.0
55,Adventure,Finnish,0.0,2.0
56,Adventure,French,464.0,923.0
57,Adventure,German,43.0,115.0
58,Adventure,Greenlandic,222.0,169.0
59,Adventure,Hebrew,3.0,23.0
60,Adventure,Hindi,0.0,2.0
61,Adventure,Hungarian,4.0,11.0
62,Adventure,Icelandic,79.0,73.0
63,Adventure,Indonesian,2.0,2.0
64,Adventure,Irish,11.0,22.0
65,Adventure,Italian,10.0,34.0
66,Adventure,Japanese,34.0,130.0
67,Adventure,Klingon,310.0,611.0
68,Adventure,Korean,10.0,23.0
69,Adventure,Kurdish,7.0,2.0
70,Adventure,Mandarin,16.0,70.0
71,Adventure,Maya,1.0,11.0
72,Adventure,None,2.0,50.0
73,Adventure,North American Indian,4.0,19.0
74,Adventure,Old English,185.0,113.0
75,Adventure,Polish,0.0,2.0
76,Adventure,Polynesian,10.0,23.0
77,Adventure,Portuguese,20.0,75.0
78,Adventure,Quenya,185.0,113.0
79,Adventure,Romanian,2.0,7.0
80,Adventure,Russian,146.0,136.0
81,Adventure,Scottish Gaelic,11.0,22.0
82,Adventure,Sindarin,185.0,113.0
83,Adventure,Slovak,0.0,5.0
84,Adventure,Spanish,91.0,308.0
85,Adventure,Swahili,2.0,6.0
86,Adventure,Swedish,8.0,37.0
87,Adventure,Tagalog,3.0,0.0
88,Adventure,Turkish,7.0,4.0
89,Adventure,Ukrainian,12.0,65.0
90,Adventure,Vietnamese,15.0,43.0
91,Adventure,Xhosa,2.0,7.0
92,Animation,Bulgarian,1.0,1.0
93,Animation,Danish,0.0,8.0
94,Animation,Dutch,1.0,4.0
95,Animation,English,490.0,1199.0
96,Animation,French,4.0,14.0
97,Animation,German,1.0,0.0
98,Animation,Hungarian,1.0,1.0
99,Animation,Icelandic,74.0,57.0
100,Animation,Indonesian,2.0,2.0
101,Animation,Irish,11.0,22.0
102,Animation,Italian,0.0,2.0
103,Animation,Japanese,33.0,32.0
104,Animation,Mandarin,0.0,3.0
105,Animation,None,3.0,53.0
106,Animation,Portuguese,2.0,21.0
107,Animation,Romanian,1.0,1.0
108,Animation,Scottish Gaelic,11.0,22.0
