,Genre,Director,imdbRating
0,Action,A.R. Murugadoss,125800.0
1,Action,Adam Beamer,3478.8
2,Action,Adam Marcus,15989.6
3,Action,Adam Silver,1976.3
4,Action,Ades Zabel,144.0
5,Action,Adil El Arbi,13454.5
6,Action,Adrian Picardi,7756.2
7,Action,Ahmet Karaman,16560.0
8,Action,Alan Taylor,2138200.45
9,Action,Albert Pyun,631.4
10,Action,Aldo D. Napoli,74.7
11,Action,Aleksander Bach,376131.6
12,Action,Aleksandr Chernyaev,101.2
13,Action,Alessandro Carloni,547027.2
14,Action,Alex Hutchinson,811.2
15,Action,Alex Prister,36.0
16,Action,Alex Proyas,332337.5
17,Action,Alex Winter,16797.3
18,Action,Alexander Bakshaev,134.3
19,Action,Alexander Berman,121.6
20,Action,Alexander Tuschinski,43.0
21,Action,Alik Sakharov,32461.1
22,Action,Alyx Gaudio,44.0
23,Action,Andre Emerson,1533.6
24,Action,Andrew Adamson,1008011.4
25,Action,Andrew Bellware,995.6
26,Action,André Moraes,190.0
27,Action,Anees Bazmee,17640.0
28,Action,Anggy Umbara,1235.4
29,Action,Anthony Russo,3353511.1
30,Action,Ashraf Ismail,63216.0
31,Action,Attila Árpa,8784.0
32,Action,Audrey Larson,120.4
33,Action,Babak Najafi,488803.2
34,Action,Bas Devos,1308.0
35,Action,Ben Hayflick,2926.8
36,Action,Benny Chan,3351.1
37,Action,Benny Fredman,710.4
38,Action,Betty Thomas,227464.2
39,Action,Biggy van Blond,144.0
40,Action,Bilall Fallah,13454.5
41,Action,Bill Christensen,56.0
42,Action,Binu S.,720.8
43,Action,Brad Bird,867373.0
44,Action,Brad Peyton,929737.6
45,Action,Bradford May,1269.1
46,Action,Brandon Vietti,6454.6
47,Action,Brendan Culleton,53.2
48,Action,Brett Simmons,23318.4
49,Action,Brian A Miller,10041.6
50,Action,Brian Taylor,664906.2
51,Action,Brigitte Burdine,2918.1
52,Action,Bruce X. Li,82.0
53,Action,Bruno Vaussenat,481.0
54,Action,Bryan Singer,2857412.8
55,Action,Byoung-gon Moon,167.2
56,Action,Camille Delamarre,303.4
57,Action,Carlos Coelho da Silva,11082.3
58,Action,Carsten Fiebeler,216.0
59,Action,Cat Moore,104.0
60,Action,Cem Yilmaz,65746.8
61,Action,Ching-Po Wong,10356.9
62,Action,Chris Miller,779638.8
63,Action,Chris Sanders,4080549.6
64,Action,Chris White,568.0
65,Action,Chris Williams,2276385.0
66,Action,Christer Lindström,924.6
67,Action,Christopher McQuarrie,1779685.2
68,Action,Christopher Miller,1962144.6
69,Action,Christopher Sabat,81.0
70,Action,Cindel Krajewski,714.4
71,Action,Clay Kaytis,270912.6
72,Action,Cody Knotts,1086.8
73,Action,Colin Fleming,127.5
74,Action,Colin Strause,390520.3
75,Action,Colin Trevorrow,3005604.0
76,Action,Conor Allyn,2713.2
77,Action,Corky Lehmkuhl,52.2
78,Action,Curt Geda,2465.0
79,Action,Dahci Ma,79.5
80,Action,Damian Lee,8429.4
81,Action,Danny Madden,378.0
82,Action,Dave 'Foots' Footman,1253.3
83,Action,Dave Green,281746.8
84,Action,David Ayer,1661338.8
85,Action,David Llauger Meiselman,787.2
86,Action,Dean DeBlois,2935048.55
87,Action,Devin Graham,7756.2
88,Action,Don E. FauntLeRoy,23436.0
89,Action,Don Hall,2276385.0
90,Action,Don Michael Paul,18815.0
91,Action,Doug Liman,3516771.9
92,Action,Doug Scheiber,74.7
93,Action,Doug Walker,9872.1
94,Action,Drew Hall,2431.3
95,Action,Dylan Cargill,46.8
96,Action,Dylan Southern,38.0
97,Action,Edris Ne,51.2
98,Action,Eduardo Quiroz,1640.2
99,Action,Edward Zwick,80044.8
100,Action,Eiichiro Sasaki,3240.0
101,Action,Eiichirô Hasumi,1014.6
102,Action,Elin Anderson,1253.3
103,Action,Erik Matti,13412.0
104,Action,Ernest Johnson,264.0
105,Action,Ethan Spaulding,87280.9
106,Action,Eugeniusz Korin,3195.8
107,Action,Evan Beamer,3478.8
108,Action,Farah Khan,138096.8
109,Action,Farzan Haghighi,154.0
110,Action,Federico Castelluccio,122.4
111,Action,Fergal Reilly,270912.6
112,Action,Fernando Lebrija,4004.0
113,Action,Florent-Emilio Siri,625897.8
114,Action,Francis Lawrence,2518429.4
115,Action,Frank Coraci,405246.0
116,Action,Franklin Guerrero Jr.,3427.1
117,Action,François Gérard,83.2
118,Action,Fred Olen Ray,1101.6
