,imdbID,Language,Genre,Awards,Awards_won,Awards_nominated,Prime_Awards_nominated,Oscar_Awards_nominated,Golden_Globe_Awards_nominated,BAFTA_Awards_nominated,Other_Awards,Prime_Awards_won,Oscar_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won
0,tt0210930,Portuguese,Drama; History,1 win & 2 nominations.,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,tt0212513,English,Crime; Drama; Mystery,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,tt0235280,English,Action; Comedy,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,tt0240149,French,Comedy; Drama,3 wins & 2 nominations.,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,tt0243904,English,Drama,1 win & 1 nomination.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,tt0250224,English,Drama; Romance,5 nominations.,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,tt0254099,English,Comedy; Drama; Romance,2 wins & 5 nominations.,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,tt0258068,English; French; Vietnamese,Drama; History; Mystery,Nominated for 1 Oscar. Another 13 wins & 13 nominations.,13.0,14.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
8,tt0263017,Spanish,Comedy; Drama,5 wins & 4 nominations.,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,tt0272338,English,Comedy; Drama; Romance,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,14.0,35.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0
10,tt0274768,German,Drama; Romance; Thriller,3 wins & 2 nominations.,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,tt0276639,Spanish,,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,tt0280030,English,Animation; Adventure; Family,5 nominations.,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,tt0280477,English,Crime; Drama; Romance,1 win & 2 nominations.,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,tt0281447,Portuguese,Comedy,22 wins & 44 nominations.,22.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,tt0281954,Spanish,Drama; Romance,1 win & 3 nominations.,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,tt0282171,English,Comedy; Sport,1 win & 8 nominations.,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,tt0283111,English,Comedy; Romance,2 nominations.,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,tt0283941,German,Documentary,6 wins & 1 nomination.,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,tt0285331,English; Russian; German; Korean; Arabic; Spanish; Serbian; Mandarin,Action; Crime; Drama,Won 2 Golden Globes. Another 68 wins & 201 nominations.,70.0,201.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,2.0,0.0
20,tt0285333,English; Bulgarian; Arabic; Cantonese; French; German; Hebrew; Hindi; Hungarian; Indonesian; Italian; Japanese; Portuguese; Romanian; Russian; Spanish; Thai; Ukrainian; Uzbek; Dutch,Action; Drama; Mystery,Won 1 Golden Globe. Another 31 wins & 143 nominations.,32.0,143.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,1.0,0.0
21,tt0285351,English,Comedy; Romance,Nominated for 4 Primetime Emmys. Another 16 nominations.,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,tt0285356,English,Drama,3 wins & 2 nominations.,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,tt0286378,Portuguese,Action; Adventure; Drama,3 wins & 6 nominations.,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,tt0288739,Slovenian,,2 wins.,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,tt0290015,German,Drama; Comedy; Romance,6 wins & 4 nominations.,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,tt0291502,English; Greek; Italian,Comedy; Romance,7 wins & 6 nominations.,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,tt0292414,English,Drama,9 wins & 30 nominations.,9.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
