imdbID,Language
tt0210930,Portuguese
tt0212513,English
tt0235280,English
tt0240149,French
tt0243904,English
tt0250224,English
tt0254099,English
tt0258068,English
tt0258068,French
tt0258068,Vietnamese
tt0263017,Spanish
tt0272338,English
tt0274768,German
tt0276639,Spanish
tt0280030,English
tt0280477,English
tt0281447,Portuguese
tt0281954,Spanish
tt0282171,English
tt0283111,English
tt0283941,German
tt0285331,English
tt0285331,Russian
tt0285331,German
tt0285331,Korean
tt0285331,Arabic
tt0285331,Spanish
tt0285331,Serbian
tt0285331,Mandarin
tt0285333,English
tt0285333,Bulgarian
tt0285333,Arabic
tt0285333,Cantonese
tt0285333,French
tt0285333,German
tt0285333,Hebrew
tt0285333,Hindi
tt0285333,Hungarian
tt0285333,Indonesian
tt0285333,Italian
tt0285333,Japanese
tt0285333,Portuguese
tt0285333,Romanian
tt0285333,Russian
tt0285333,Spanish
tt0285333,Thai
tt0285333,Ukrainian
tt0285333,Uzbek
tt0285333,Dutch
tt0285351,English
tt0285356,English
tt0286378,Portuguese
tt0288739,Slovenian
tt0290015,German
tt0291502,English
tt0291502,Greek
tt0291502,Italian
tt0292414,English
tt0292800,English
tt0294362,English
tt0295297,English
tt0295613,English
tt0296307,English
tt0297181,English
tt0297181,Hungarian
tt0297181,Russian
tt0298130,English
tt0298617,English
tt0299547,English
tt0303421,Spanish
tt0303430,English
tt0303635,English
tt0304649,English
tt0307716,English
tt0307734,English
tt0309122,English
tt0313025,English
tt0313038,English
tt0315722,English
tt0316602,English
tt0317842,Hebrew
tt0318038,English
tt0319935,English
tt0319938,English
tt0320808,English
tt0320809,English
tt0324681,English
tt0326731,Swedish
tt0336052,English
tt0336910,English
tt0337534,English
tt0337714,English
tt0338434,English
tt0340251,Portuguese
tt0340427,English
tt0344195,Portuguese
tt0346091,English
tt0351031,English
tt0354262,English
tt0360243,German
tt0380083,German
tt0383070,Spanish
tt0411465,English
tt0439924,English
tt0457440,English
tt0472578,English
tt0487835,Portuguese
tt0841930,Italian
tt0896680,German
tt1383715,English
tt0167260,English
tt0167260,Quenya
tt0167260,Old English
tt0167260,Sindarin
tt0191133,English
tt0285823,English
tt0285823,Spanish
tt0289944,English
tt0306047,English
tt0314197,English
tt0314197,Spanish
tt0317910,English
tt0320037,English
tt0325258,English
tt0327437,English
tt0327437,Cantonese
tt0327437,French
tt0327437,German
tt0327437,Hindi
tt0327437,Turkish
tt0328034,English
tt0329575,English
tt0332375,English
tt0337639,English
tt0338574,English
tt0346947,Spanish
tt0348593,English
tt0348904,Spanish
tt0348904,Portuguese
tt0353168,English
tt0354463,English
tt0357388,English
tt0362404,English
tt0363307,English
tt0364146,English
tt0365974,English
tt0367273,Portuguese
tt0367276,English
tt0367298,English
tt0367854,English
tt0368026,English
tt0369910,English
tt0372167,German
tt0373474,English
tt0374360,Spanish
tt0374900,English
tt0377066,English
tt0378194,English
tt0378194,Cantonese
tt0378194,Mandarin
tt0378194,Spanish
tt0382395,Spanish
tt0382898,Spanish
tt0382898,Basque
tt0382898,English
tt0382898,French
tt0383460,English
tt0383460,Somali
tt0383846,Serbian
tt0385373,German
tt0385374,Spanish
tt0385664,English
tt0385842,Spanish
tt0386907,English
tt0387541,English
tt0387564,English
tt0387714,English
tt0388838,French
tt0388838,English
tt0388838,Cantonese
tt0389121,English
tt0390205,Korean
tt0395378,English
tt0395560,Portuguese
tt0395560,Spanish
tt0395560,French
tt0395560,English
tt0397756,English
tt0397800,English
tt0398408,English
tt0398883,Italian
tt0400973,Spanish
tt0401224,English
tt0401224,Arabic
tt0406960,English
tt0413053,Portuguese
tt0413053,Russian
tt0413527,English
tt0415399,German
tt0417737,Swiss German
tt0418141,English
tt0420318,Polish
tt0424593,Catalan
tt0425271,English
tt0426893,English
tt0428517,English
tt0429149,English
tt0429293,Spanish
tt0429301,Hebrew
tt0432649,English
tt0432967,German
tt0433458,English
tt0435926,Portuguese
tt0436374,Spanish
tt0436374,German
tt0439341,English
tt0439342,English
tt0440788,English
tt0441970,Japanese
tt0441970,Russian
tt0441970,Mandarin
tt0447435,English
tt0447584,Portuguese
tt0448948,English
tt0455373,Spanish
tt0465778,German
tt0473394,English
tt0764672,Filipino
tt0764672,Tagalog
tt0774034,English
tt0784828,English
tt0784828,Icelandic
tt0877538,German
tt0910586,English
tt0956042,English
tt0956042,Zulu
tt1182335,English
tt1734537,English
tt4354698,English
tt0121766,English
tt0216584,English
tt0229881,Portuguese
tt0257516,English
tt0340163,English
tt0365885,English
tt0368413,English
tt0380389,English
tt0380389,Spanish
tt0388727,Danish
tt0390614,Hindi
tt0400525,English
tt0401855,English
tt0401855,French
tt0401855,Hungarian
tt0403508,English
tt0403508,Greek
tt0403508,Spanish
tt0407304,English
tt0420982,Russian
tt0420982,English
tt0424699,English
tt0424699,Spanish
tt0430357,English
tt0430357,Spanish
tt0430912,English
tt0432236,English
tt0435625,English
tt0435937,English
tt0436569,Mandarin
tt0436569,English
tt0437696,English
tt0439774,English
tt0440981,Spanish
tt0441633,Finnish
tt0441793,German
tt0441919,English
tt0441919,Filipino
tt0441919,Tagalog
tt0448962,English
tt0450077,Russian
tt0450979,English
tt0452594,English
tt0453979,Mandarin
tt0454082,English
tt0454883,Bulgarian
tt0454883,Hungarian
tt0454883,Romanian
tt0454883,Serbo-Croatian
tt0454921,English
tt0454921,Cantonese
tt0455467,English
tt0456207,Spanish
tt0463850,English
tt0463850,Spanish
tt0463850,Navajo
tt0463953,English
tt0464768,Portuguese
tt0465315,English
tt0465346,English
tt0470642,English
tt0473488,English
tt0473488,Spanish
tt0475119,English
