imdbID,Writer
tt0156376,Jeffrey W. Byrd
tt0156376,Eric George
tt0207989,Tony Marchant
tt0210930,João Botelho
tt0210930,Almeida Garrett (play)
tt0212513,Donna Powers
tt0212513,Wayne Powers
tt0235280,Kevin Campbell
tt0240149,Christian Carion
tt0240149,Eric Assous
tt0243904,John Hodge
tt0245407,John McKay
tt0245932,Crispin Whittell
tt0246902,Rusty Buchert
tt0246902,Brian Freyermuth
tt0250224,Phil Hay
tt0250224,Matt Manfredi
tt0251042,James Agee (novel)
tt0251042,Robert W. Lenski (teleplay)
tt0254099,Jennifer Jason Leigh
tt0254099,Alan Cumming
tt0258068,Graham Greene (novel)
tt0258068,Christopher Hampton (screenplay)
tt0258068,Robert Schenkkan (screenplay)
tt0263017,Jörg Hiller
tt0264333,Bill Britten
tt0264333,Richard Crawford
tt0267693,Eric Newby (book)
tt0267693,John Mortimer (teleplay)
tt0270645,Arthur Conan Doyle (novel)
tt0270645,Joe Wiesenfeld
tt0272338,Paul Thomas Anderson
tt0274768,Ruth Toma
tt0275458,Anthony Russo
tt0275458,Joe Russo
tt0277622,Yann Andréa (novel)
tt0277622,Josée Dayan (adaptation)
tt0277622,Marguerite Duras (character)
tt0277622,Gilles Taurand (adaptation)
tt0280030,Temple Mathews (screenplay)
tt0280030,Carter Crocker (additional written material)
tt0280030,J.M. Barrie (play)
tt0280229,Stuart Gillard
tt0280229,Stephen Tolkin
tt0280477,Ernesto Foronda
tt0280477,Justin Lin
tt0280477,Fabian Marquez
tt0281954,Eliseo Subiela
tt0282171,Broderick Miller
tt0282171,Nancy Dowd (characters)
tt0282445,Michael Horowitz
tt0283111,Brent Goldberg
tt0283111,David Wagner
tt0283165,Ignacio del Moral
tt0283165,Moisés Gómez Ramos
tt0283535,Kathleen Orillion
tt0283941,Andres Veiel
tt0284035,Sandra Joxe
tt0285331,Robert Cochran
tt0285331,Joel Surnow
tt0285333,J.J. Abrams
tt0285351,Tracy Newman
tt0285351,Jonathan Stark
tt0285356,Dawn Prestwich
tt0285356,Nicole Yorkin
tt0288276,Guillaume Nicloux
tt0288739,Vinci Vogue Anzlovar
tt0288798,Nas
tt0288798,Luce Gordon
tt0289262,Lasha Dardagany
tt0290015,Hendrik Hölzemann (script)
tt0290015,Benjamin Quabeck (story)
tt0290341,Peter Simons
tt0290341,Katelijne Drijkoningen
tt0290909,Damion Dietz
tt0291502,Guy Ritchie (screenplay)
tt0292403,Lois Bromfield
tt0292403,Chad Hodge
tt0292403,Pamela Pettler
tt0292414,Posie Graeme-Evans
tt0292414,Caroline Stanton
tt0292698,Garry Williams
tt0292698,Shawn Nelson
tt0292698,V.R. McDade
tt0292800,Maxwell Atoms
tt0293989,Edison Braga
tt0293989,Márcio Tavolari
tt0294362,Carol Flint (teleplay)
tt0294362,Thornton Wilder (play)
tt0294517,Iván Benjumea-Rey
tt0294517,Consuelo Quiñones
tt0295067,Martha Carrillo
tt0295067,Roberto Hernández
tt0295297,J.K. Rowling (novel)
tt0295297,Steve Kloves (screenplay)
tt0295613,Pamela Colloff (magazine article in Texas Monthly)
tt0295613,John Pielmeier
tt0297181,Morton S. Fine (characters)
tt0297181,David Friedkin (characters)
tt0297181,Marianne Wibberley (story)
tt0297181,Cormac Wibberley (story)
tt0297181,Marianne Wibberley (screenplay)
tt0297181,Cormac Wibberley (screenplay)
tt0297181,Jay Scherick (screenplay)
tt0297181,David Ronn (screenplay)
tt0298130,Ehren Kruger (screenplay)
tt0298130,Kôji Suzuki (novel)
tt0299486,Geneviève Lefebvre
tt0299547,Louis Nowra
tt0301157,Carsten Fiebeler
tt0301157,Ulf Jakobsen (novel)
tt0301246,J.R.R. Tolkien (books)
tt0303421,Ana Obregón
tt0303635,Gregory Nava
tt0303881,Frank Hampson (creator)
