imdbID,Genre
tt0156376,Romance
tt0156376,Comedy
tt0201374,Comedy
tt0210930,Drama
tt0210930,History
tt0212513,Crime
tt0212513,Drama
tt0212513,Mystery
tt0235280,Action
tt0235280,Comedy
tt0240149,Comedy
tt0240149,Drama
tt0243904,Drama
tt0245407,Comedy
tt0245407,Romance
tt0245407,Drama
tt0246902,Action
tt0246902,Horror
tt0246902,Sci-Fi
tt0250224,Drama
tt0250224,Romance
tt0251042,Romance
tt0254099,Comedy
tt0254099,Drama
tt0254099,Romance
tt0257306,Romance
tt0258068,Drama
tt0258068,History
tt0258068,Mystery
tt0260596,Crime
tt0260596,Drama
tt0263017,Comedy
tt0263017,Drama
tt0264333,Action
tt0264333,Adventure
tt0264333,Comedy
tt0267693,Drama
tt0267693,Romance
tt0267693,War
tt0270645,War
tt0271275,War
tt0271896,Drama
tt0271896,Romance
tt0272338,Comedy
tt0272338,Drama
tt0272338,Romance
tt0274768,Drama
tt0274768,Romance
tt0274768,Thriller
tt0275458,Short
tt0275458,Romance
tt0277622,Romance
tt0279613,Romance
tt0280030,Animation
tt0280030,Adventure
tt0280030,Family
tt0280228,Family
tt0280229,Drama
tt0280229,Horror
tt0280229,Sci-Fi
tt0280477,Crime
tt0280477,Drama
tt0280477,Romance
tt0280872,Documentary
tt0280872,Music
tt0281178,Music
tt0281447,Music
tt0281954,Drama
tt0281954,Romance
tt0282171,Comedy
tt0282171,Sport
tt0282445,Short
tt0282445,Thriller
tt0283111,Comedy
tt0283111,Romance
tt0283165,Romance
tt0283535,Romance
tt0283714,Game-Show
tt0283714,Reality-TV
tt0283941,Reality-TV
tt0284035,Reality-TV
tt0285331,Action
tt0285331,Crime
tt0285331,Drama
tt0285333,Action
tt0285333,Drama
tt0285333,Mystery
tt0285351,Comedy
tt0285351,Romance
tt0285356,Romance
tt0285657,Comedy
tt0285657,Crime
tt0286378,Action
tt0286378,Adventure
tt0286378,Drama
tt0287187,Drama
tt0287189,Drama
tt0287828,Drama
tt0288276,Crime
tt0288276,Mystery
tt0288276,Thriller
tt0289262,Short
tt0289262,Action
tt0289262,Crime
tt0289796,Adventure
tt0289796,Action
tt0289796,Comedy
tt0289822,Comedy
tt0289822,Family
tt0290015,Drama
tt0290015,Comedy
tt0290015,Romance
tt0290341,Romance
tt0290909,Romance
tt0291502,Comedy
tt0291502,Romance
tt0291801,Documentary
tt0291801,Family
tt0292403,Comedy
tt0292403,Drama
tt0292408,Adventure
tt0292408,Reality-TV
tt0292414,Reality-TV
tt0292622,Reality-TV
tt0292698,Drama
tt0292698,Horror
tt0292698,Thriller
tt0292800,Animation
tt0292800,Comedy
tt0292800,Family
tt0292816,Game-Show
tt0292816,Reality-TV
tt0293723,Music
tt0293723,News
tt0294000,News
tt0294362,News
tt0294517,News
tt0295297,Adventure
tt0295297,Family
tt0295297,Fantasy
tt0295613,Drama
tt0295613,Crime
tt0295863,Crime
tt0296307,Comedy
tt0296307,Drama
tt0297181,Action
tt0297181,Adventure
tt0297181,Comedy
tt0297482,Comedy
tt0297486,Comedy
tt0297486,Talk-Show
tt0298130,Horror
tt0298130,Mystery
tt0298244,Adventure
tt0298244,Comedy
tt0298244,Family
tt0298617,Animation
tt0298617,Comedy
tt0299233,Comedy
tt0299233,Drama
tt0299233,Crime
tt0299236,Crime
tt0299285,Comedy
tt0299285,Horror
tt0299547,Horror
tt0299867,Horror
tt0300405,Horror
tt0300704,Horror
tt0300711,Horror
tt0300713,Animation
tt0300713,Comedy
tt0300725,Comedy
tt0300725,Music
tt0300725,Talk-Show
tt0300727,Comedy
tt0300727,Action
tt0301157,Action
tt0301246,Action
tt0302066,Documentary
tt0302066,Short
tt0302066,News
tt0303418,Crime
tt0303418,Drama
tt0303418,Romance
tt0303419,Action
tt0303419,Animation
tt0303419,Comedy
tt0303420,Drama
tt0303420,Romance
tt0303421,Comedy
tt0303421,Drama
tt0303421,Family
tt0303430,Documentary
tt0303430,History
tt0303430,War
tt0303635,Drama
tt0303635,Family
tt0304058,Documentary
tt0304058,History
tt0304058,Sport
tt0304649,Short
tt0304649,Family
tt0304649,Fantasy
tt0305176,Documentary
tt0305176,Short
tt0305963,Short
tt0305963,Animation
tt0306021,Action
tt0306021,Sport
tt0306272,Sport
tt0306273,Sport
tt0306276,Sport
tt0307180,Sport
tt0307707,Sport
tt0307714,Sport
tt0307715,Animation
tt0307715,Sci-Fi
tt0307715,Action
tt0307716,Action
tt0307734,Crime
tt0307734,Drama
tt0307752,Animation
tt0307752,Music
tt0308236,Music
tt0309122,Adventure
tt0309122,Sci-Fi
tt0309125,Animation
tt0309125,Action
tt0309125,Comedy
tt0310410,Documentary
tt0310410,News
tt0310410,Sport
tt0310416,Adventure
tt0310416,Game-Show
tt0310416,Reality-TV
tt0310594,Reality-TV
tt0311087,Reality-TV
tt0312087,Reality-TV
tt0312338,Reality-TV
tt0312662,Drama
tt0312662,Romance
tt0313025,Romance
tt0313034,Romance
tt0313038,Game-Show
tt0313038,Reality-TV
tt0313038,Romance
tt0313062,Romance
tt0313871,Romance
tt0314943,Romance
tt0314972,Romance
tt0314973,Romance
tt0314976,Romance
tt0315645,Comedy
tt0315645,Family
tt0316602,Family
tt0316965,Family
tt0317842,Family
tt0318038,Drama
tt0318038,Short
tt0318038,Sci-Fi
tt0318565,Comedy
tt0318565,Crime
tt0318868,Crime
tt0319537,Drama
tt0319537,Mystery
tt0319537,Thriller
tt0319890,Drama
tt0319890,Short
tt0319926,Comedy
tt0319926,Drama
tt0319926,Romance
tt0319929,Documentary
tt0319929,History
tt0319935,Animation
tt0319935,Family
tt0319938,Drama
tt0319938,Comedy
tt0319943,Comedy
tt0320808,Animation
tt0320808,Adventure
tt0320808,Comedy
tt0320809,Comedy
tt0321256,Fantasy
tt0321256,Romance
tt0321256,Thriller
tt0322008,Action
tt0322008,Mystery
tt0322008,Sci-Fi
tt0324548,Sci-Fi
tt0324679,Sci-Fi
tt0324681,Action
tt0324681,Adventure
tt0324681,Fantasy
tt0326731,Fantasy
tt0327265,Fantasy
tt0327592,Comedy
tt0327592,Romance
tt0327592,Short
tt0328544,Action
tt0328544,Crime
tt0328544,Sci-Fi
tt0328816,Sci-Fi
tt0329065,Sci-Fi
tt0329801,Sci-Fi
tt0329819,Sci-Fi
tt0329963,Documentary
tt0329963,Music
tt0330410,Music
tt0331283,Music
tt0331834,Action
tt0331834,Drama
tt0331834,Horror
tt0333030,Horror
tt0334896,Animation
tt0334896,Comedy
tt0334896,Drama
tt0335472,Drama
tt0336052,Drama
tt0336910,Comedy
tt0336910,Crime
tt0337714,Animation
tt0337714,Short
tt0337714,Comedy
tt0337777,Family
tt0337777,Thriller
tt0338434,Biography
tt0338434,Drama
tt0338434,War
tt0338513,Adventure
tt0338513,Crime
tt0338513,Drama
tt0338684,Animation
