,Released,imdbID,Released_DateTime,Released_Year,Released_Month
0,14 Feb 2002,tt0156376,2002-02-14,2002.0,2.0
1,12 Feb 2001,tt0201374,2001-02-12,2001.0,2.0
2,11 Jan 2001,tt0207989,2001-01-11,2001.0,1.0
3,23 Nov 2001,tt0210930,2001-11-23,2001.0,11.0
4,24 Jul 2001,tt0212513,2001-07-24,2001.0,7.0
5,25 Nov 2003,tt0235280,2003-11-25,2003.0,11.0
6,05 Sep 2001,tt0240149,2001-09-05,2001.0,9.0
7,12 Oct 2002,tt0243904,2002-10-12,2002.0,10.0
8,07 Jun 2002,tt0245407,2002-06-07,2002.0,6.0
9,29 Jun 2001,tt0245932,2001-06-29,2001.0,6.0
10,08 Oct 2002,tt0246902,2002-10-08,2002.0,10.0
11,29 Jun 2001,tt0250224,2001-06-29,2001.0,6.0
12,,tt0251042,,,
13,29 Jun 2001,tt0254099,2001-06-29,2001.0,6.0
14,22 Jul 2001,tt0257306,2001-07-22,2001.0,7.0
15,07 Mar 2003,tt0258068,2003-03-07,2003.0,3.0
16,15 Jan 2001,tt0260596,2001-01-15,2001.0,1.0
17,,tt0261507,,,
18,01 Nov 2002,tt0263017,2002-11-01,2002.0,11.0
19,19 Jul 2002,tt0264333,2002-07-19,2002.0,7.0
20,18 Nov 2001,tt0267693,2001-11-18,2001.0,11.0
21,23 Mar 2001,tt0270645,2001-03-23,2001.0,3.0
22,02 Feb 2001,tt0271275,2001-02-02,2001.0,2.0
23,15 Jan 2001,tt0271896,2001-01-15,2001.0,1.0
24,01 Nov 2002,tt0272338,2002-11-01,2002.0,11.0
25,29 Jan 2001,tt0274768,2001-01-29,2001.0,1.0
26,23 Jan 2001,tt0275458,2001-01-23,2001.0,1.0
27,06 Feb 2001,tt0275823,2001-02-06,2001.0,2.0
28,08 Mar 2001,tt0276639,2001-03-08,2001.0,3.0
29,16 Jan 2002,tt0277622,2002-01-16,2002.0,1.0
30,05 Feb 2001,tt0279613,2001-02-05,2001.0,2.0
31,15 Feb 2002,tt0280030,2002-02-15,2002.0,2.0
32,11 Mar 2001,tt0280228,2001-03-11,2001.0,3.0
33,17 Apr 2001,tt0280229,2001-04-17,2001.0,4.0
34,25 Apr 2003,tt0280477,2003-04-25,2003.0,4.0
35,03 Mar 2001,tt0280872,2001-03-03,2001.0,3.0
36,17 Feb 2001,tt0281178,2001-02-17,2001.0,2.0
37,29 Mar 2001,tt0281447,2001-03-29,2001.0,3.0
38,05 Jul 2001,tt0281954,2001-07-05,2001.0,7.0
39,26 Mar 2002,tt0282171,2002-03-26,2002.0,3.0
40,08 Apr 2001,tt0282281,2001-04-08,2001.0,4.0
41,03 May 2001,tt0282285,2001-05-03,2001.0,5.0
42,21 Apr 2001,tt0282445,2001-04-21,2001.0,4.0
43,05 Apr 2002,tt0283111,2002-04-05,2002.0,4.0
44,26 Apr 2001,tt0283165,2001-04-26,2001.0,4.0
45,17 Apr 2001,tt0283535,2001-04-17,2001.0,4.0
46,16 Apr 2001,tt0283714,2001-04-16,2001.0,4.0
47,24 May 2001,tt0283941,2001-05-24,2001.0,5.0
48,09 May 2001,tt0284035,2001-05-09,2001.0,5.0
49,15 Apr 2001,tt0284037,2001-04-15,2001.0,4.0
50,06 Nov 2001,tt0285331,2001-11-06,2001.0,11.0
51,30 Sep 2001,tt0285333,2001-09-30,2001.0,9.0
52,01 Jun 2001,tt0285334,2001-06-01,2001.0,6.0
53,03 Oct 2001,tt0285351,2001-10-03,2001.0,10.0
54,30 Sep 2001,tt0285356,2001-09-30,2001.0,9.0
55,08 Jan 2002,tt0285657,2002-01-08,2002.0,1.0
56,18 Jun 2001,tt0286378,2001-06-18,2001.0,6.0
57,26 Apr 2001,tt0287187,2001-04-26,2001.0,4.0
58,18 Jun 2001,tt0287189,2001-06-18,2001.0,6.0
59,,tt0287827,,,
60,,tt0287828,,,
61,30 Apr 2002,tt0288276,2002-04-30,2002.0,4.0
62,29 Mar 2001,tt0288739,2001-03-29,2001.0,3.0
63,09 Feb 2003,tt0288798,2003-02-09,2003.0,2.0
64,01 Jun 2001,tt0288910,2001-06-01,2001.0,6.0
65,,tt0288911,,,
66,21 Jun 2001,tt0289262,2001-06-21,2001.0,6.0
67,,tt0289796,,,
68,05 Jul 2001,tt0289822,2001-07-05,2001.0,7.0
69,15 Nov 2001,tt0290015,2001-11-15,2001.0,11.0
70,01 Dec 2001,tt0290341,2001-12-01,2001.0,12.0
71,01 Oct 2002,tt0290909,2002-10-01,2002.0,10.0
72,11 Oct 2002,tt0291502,2002-10-11,2002.0,10.0
73,20 Mar 2001,tt0291801,2001-03-20,2001.0,3.0
74,04 Aug 2001,tt0292403,2001-08-04,2001.0,8.0
75,07 Aug 2001,tt0292408,2001-08-07,2001.0,8.0
76,02 Oct 2004,tt0292414,2004-10-02,2004.0,10.0
77,23 Aug 2001,tt0292622,2001-08-23,2001.0,8.0
78,01 Aug 2001,tt0292698,2001-08-01,2001.0,8.0
79,24 Aug 2001,tt0292800,2001-08-24,2001.0,8.0
