,YearMonth,Name,State,AvgTemp
0,201501.0,PLEASANTON,TX,M
1,201502.0,PLEASANTON,TX,M
2,201503.0,PLEASANTON,TX,M
3,201504.0,PLEASANTON,TX,M
4,201505.0,PLEASANTON,TX,M
5,201506.0,PLEASANTON,TX,M
6,201507.0,PLEASANTON,TX,M
7,201508.0,PLEASANTON,TX,M
8,201509.0,PLEASANTON,TX,M
9,201510.0,PLEASANTON,TX,M
10,201511.0,PLEASANTON,TX,M
11,201512.0,PLEASANTON,TX,M
12,201601.0,PLEASANTON,TX,M
13,201602.0,PLEASANTON,TX,M
14,201603.0,PLEASANTON,TX,M
15,201604.0,PLEASANTON,TX,M
16,201605.0,PLEASANTON,TX,M
17,201606.0,PLEASANTON,TX,M
18,201607.0,PLEASANTON,TX,M
19,201608.0,PLEASANTON,TX,M
20,201609.0,PLEASANTON,TX,M
21,201610.0,PLEASANTON,TX,M
22,201611.0,PLEASANTON,TX,M
23,201612.0,PLEASANTON,TX,M
24,201501.0,CLINTON,AR,M
25,201502.0,CLINTON,AR,M
26,201503.0,CLINTON,AR,M
27,201504.0,CLINTON,AR,M
28,201505.0,CLINTON,AR,M
29,201506.0,CLINTON,AR,M
30,201507.0,CLINTON,AR,M
31,201508.0,CLINTON,AR,M
32,201509.0,CLINTON,AR,M
33,201510.0,CLINTON,AR,M
34,201511.0,CLINTON,AR,M
35,201512.0,CLINTON,AR,M
36,201601.0,CLINTON,AR,M
37,201602.0,CLINTON,AR,M
38,201603.0,CLINTON,AR,M
39,201604.0,CLINTON,AR,M
40,201605.0,CLINTON,AR,M
41,201606.0,CLINTON,AR,M
42,201607.0,CLINTON,AR,M
43,201608.0,CLINTON,AR,M
44,201609.0,CLINTON,AR,M
45,201610.0,CLINTON,AR,M
46,201611.0,CLINTON,AR,M
47,201612.0,CLINTON,AR,M
48,201501.0,LAGO VISTA,TX,M
49,201502.0,LAGO VISTA,TX,M
50,201503.0,LAGO VISTA,TX,M
51,201504.0,LAGO VISTA,TX,M
52,201505.0,LAGO VISTA,TX,M
53,201506.0,LAGO VISTA,TX,M
54,201507.0,LAGO VISTA,TX,M
55,201508.0,LAGO VISTA,TX,M
56,201509.0,LAGO VISTA,TX,M
57,201510.0,LAGO VISTA,TX,M
58,201511.0,LAGO VISTA,TX,M
59,201512.0,LAGO VISTA,TX,M
60,201601.0,LAGO VISTA,TX,M
61,201602.0,LAGO VISTA,TX,M
62,201603.0,LAGO VISTA,TX,M
63,201604.0,LAGO VISTA,TX,M
64,201605.0,LAGO VISTA,TX,M
65,201606.0,LAGO VISTA,TX,M
