searchterm,userid,created_year,created_month,created_date,created_hour,created_min,created_sec,retweet_count,favorite_count,friends_count,followers_count,location,tweet
trump,3172788553,2016,10,25,06,13,25,1727,0,0,97960,,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,92601375,2016,10,25,06,13,25,1,0,270,1280,USA,RT @polisciman75: WOW: Catholic Priest Puts Church-Goers On Notice: Issues Brutal Warning If They Vote For Hillary https://t.co/25Dc2s2mwQ
trump,731271962866110464,2016,10,25,06,13,25,1727,0,1183,36209,turn on notifications ✗♥O,RT @hoax: hitler vs trump https://t.co/wg815vdue4
trump,789563993119715328,2016,10,25,06,13,25,4567,0,130,26,,RT @JaredWyand: Hillary's "we go high" campaign was planning their swift-boat attacks against Trump during the Sanders primary#PodestaEma…
hillary,706990537799131136,2016,10,25,06,13,25,0,0,3010,2381,Making you hungry...,@vaccaro3d Hillary: Ready to toss Bill's Rape victims under the bus https://t.co/5hkYOOKuRh
hillary,744304014,2016,10,25,06,13,25,0,0,893,1211,→Hip Hop←,Ya me estoy preparando pa el KiyaHH jaja
trump,2954362544,2016,10,25,06,13,25,37,0,1287,1485,,RT @TDennis17: Well here's the third Trump smear artist caught today. CNN must be pooping bricks by now. They'll never report on it https:…
trump,738962621362118656,2016,10,25,06,13,25,13,0,326,508,,RT @pastpunditry: Donald Trump would like ladies to know that once you’ve been assaulted you automatically consent to all future assaults,…
trump,2882562277,2016,10,25,06,13,25,1727,0,40856,83024,,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,4883801255,2016,10,25,06,13,25,2,0,5620,5624, USA,RT @saul42: Hillary Busted; Lying 13 minutes non-stop - Tactical Investor https://t.co/kg84uemZHF via @saul42
hillary,2199598860,2016,10,25,06,13,25,79,0,288,28,,RT @owillis: this is the only election outcome i believe would really force the gop to radically change overnight https://t.co/UnHWR8Xcoa
hillary,716450496513310722,2016,10,25,06,13,25,2241,0,33,299, USA,RT @mitchellvii: The ultimate irony will be when Hillary goes to prison for violating FEC Super Pac Laws because of her "Donald Duck" strat…
hillary,4821724513,2016,10,25,06,13,25,3594,0,249,281,,RT @LogicalCampaign: WOW!!Green party's Jill Stein: Hillary is FAR MORE DANGEROUS than Trump.#ThursdayThoughts #NextFakeTrumpVictim #Ne…
hillary,1371127416,2016,10,25,06,13,25,22888,0,3133,3195, Fl.,RT @realDonaldTrump: Wow, just came out on secret tape that Crooked Hillary wants to take in as many Syrians as possible. We cannot let thi…
trump,2895040777,2016,10,25,06,13,25,1727,0,12,81196,turn on my notifications :) ,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,2431115268,2016,10,25,06,13,25,0,0,15,8,,Watch the leaked videos from project varotos and see for your self the corruption of Hillary Clinton and the Illegal campaign practices
hillary,789563993119715328,2016,10,25,06,13,25,1367,0,130,26,,RT @therealroseanne: BREAKING: HILLARY IS GOING DOWN! O’KEEFE JUST FILED SUIT AGAINST CLINTON... https://t.co/9X9UsUSOsC via @YouTube
trump,1423830522,2016,10,25,06,13,25,1727,0,1,68539,*turn on my notifications*,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,706148599604731905,2016,10,25,06,13,25,71,0,8852,8053, NV,RT @mitchellvii: Folks, Trump is winning and Hillary is in trouble.  You have to dig deep into these polls but it's obvious.
hillary,3159466303,2016,10,25,06,13,25,0,0,614,219,#BernieOrJill,Very wise words from Hillary Clinton! https://t.co/weejiDEmj0
trump,55853059,2016,10,25,06,13,25,0,0,1694,1745,Just the other side of nowhere,A great honorThe 281 People, Places and Things Donald Trump Has Insulted on Twitter: A Complete List https://t.co/NDCOfQ4ZTC via @UpshotNYT
hillary,2312902755,2016,10,25,06,13,25,303,0,1920,1963,The South,RT @0HOUR1__: Tampa if Hillary Clinton wins the election is #RIGGED https://t.co/ahkZdUiI89
hillary,162456721,2016,10,25,06,13,25,2,0,1672,819, USA,RT @AndresAyrado: Show me someone who believes ignorance is bliss, and I'll show you a Hillary supporter. You can't be that blind folks!!…
hillary,297965399,2016,10,25,06,13,25,0,0,212,598,Chicago,Park Ridge officials consider ways to recognize Hillary Clinton's presidential run https://t.co/UJ5dyS6eaz
hillary,2149673810,2016,10,25,06,13,25,0,0,38,43,,Donald Trump is Ahead in Texas! just said Obama care is going up x 3 so Hillary wants to keep Obama https://t.co/BNwWvdUYFt Trump! Winner
hillary,379851447,2016,10,25,06,13,25,0,0,1983,4608,London UK,#HILLARY #CLINTON #HEALTH #COVER-UP: BLOOD CLOT WAS KEPT SECRET FROM AMERICAN PUBLIC https://t.co/EQNOZMvRUC
trump,358448762,2016,10,25,06,13,25,0,0,88,77,USA,trump and his supporters live in their own world of lies and delusions.  Thankfully, there aren't as many of them a… https://t.co/VgQXiPXTuB
trump,257019790,2016,10,25,06,13,25,63,0,1608,635,USA,RT @Rob_Flaherty: "I am nothing like Donald Trump!," says person threatening a frivolous lawsuit over someone hurting their feelingshttps…
hillary,2282067044,2016,10,25,06,13,25,0,0,1917,1526, TN  USA,@Conservative_VW @mikepence is drawing more people than Hillary.
trump,2964623447,2016,10,25,06,13,25,1727,0,17,56759,abyss,RT @hoax: hitler vs trump https://t.co/wg815vdue4
trump,731019727,2016,10,25,06,13,25,11,0,7505,6875,California by way of  Belize ,RT @Slate: Where do Trump supporters get their fake facts? From Facebook, of course: https://t.co/HjiWIXfU6v https://t.co/3uhkPqwFLy
hillary,4808474910,2016,10,25,06,13,25,9930,0,1143,1233,California,RT @realDonaldTrump: 'Hillary Clinton Had Gun Control Supporters Planted In Town Hall Audience' https://t.co/1GVq74iW8a
hillary,105096429,2016,10,25,06,13,25,27,0,376,250,Marseille,RT @EdeVulpi: "Le contenu des conférences de Hillary Clinton à Goldman Sachs a été tenu secret. S'il était publié, Trump serait élu." @Fran…
trump,774189454571503616,2016,10,25,06,13,25,10535,0,186,63,,RT @JaredWyand: If you make this go viral, Trump will win. It's 4 minutes that makes the choice in this election crystal clear.#EarlyVoti…
hillary,1306073227,2016,10,25,06,13,25,6,0,1371,236,redmond,RT @mitchellvii: Monmouth NC - While Hillary leads with early voters so far, Trump has a large lead with voters still intending to vote.
trump,4830947765,2016,10,25,06,13,25,1727,0,22,33825,,RT @hoax: hitler vs trump https://t.co/wg815vdue4
trump,789616472,2016,10,25,06,13,25,1727,0,0,65711,,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,541255832,2016,10,25,06,13,25,295,0,1480,1030,OHIO ,RT @Always_Trump: Anyone else getting #ScandalFatigue from Hillary? I mean my god, what has this woman NOT done?
trump,16014522,2016,10,25,06,13,25,0,0,2698,3038, CA,Uh, "Nice" and "Trump supporter" don't go together - that's an oxymoron. https://t.co/AbIFOMqfzQ
trump,3160789378,2016,10,25,06,13,25,1727,0,69,46415,Turn On Notifications,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,3006690178,2016,10,25,06,13,25,6316,0,63,181, AZ,RT @wikileaks: Why is Hilllary Clinton is so soft on Saudi? The #Podesta connection https://t.co/8R86yE6yXK More: https://t.co/pjX9tmfINt…
hillary,740358125392408576,2016,10,25,06,13,25,669,0,2929,2251,,RT @mitchellvii: What I think of Hillary's D+9 polls: https://t.co/Fjd4GIwBB3
trump,2985300865,2016,10,25,06,13,25,1727,0,19,90407,ATL,RT @hoax: hitler vs trump https://t.co/wg815vdue4
trump,3232359733,2016,10,25,06,13,25,1727,0,2068,24345,,RT @hoax: hitler vs trump https://t.co/wg815vdue4
trump,2874721531,2016,10,25,06,13,25,1727,0,0,146557,selling promos/rts,RT @hoax: hitler vs trump https://t.co/wg815vdue4
trump,985770788,2016,10,25,06,13,25,1727,0,11887,22582,turn on notifications,RT @hoax: hitler vs trump https://t.co/wg815vdue4
trump,2837688358,2016,10,25,06,13,25,1727,0,392,19925,*notifications on/rts off*,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,2349297128,2016,10,25,06,13,25,22888,0,188,143, USA,RT @realDonaldTrump: Wow, just came out on secret tape that Crooked Hillary wants to take in as many Syrians as possible. We cannot let thi…
hillary,2740340985,2016,10,25,06,13,25,0,0,709,271,,Barbra Streisand &amp; Jamie Foxx “Climb Ev’ry Mountain" for Hillary Clinton! Remember to vote on Tuesday, Novemb... https://t.co/OWbwhjNH1m
hillary,3065807512,2016,10,25,06,13,25,96,0,1160,32,-83.621606,RT @larryelder: Tonight 7p PT, @larryelder is a panelist on @seanhannity: "WikiLeaks Exposes The Media Collusion With The Hillary Campaign"
trump,4320301752,2016,10,25,06,13,25,91,0,874,662, USA,RT @JohnKStahlUSA: Porn star who had sex with strangers for years is upset with Trump. Gloria, get a real job. #tcot #ccot #gop #maga https…
hillary,2513543453,2016,10,25,06,13,25,0,0,478,98,,you (uptight millenial): duhh Hillary is basically a neoconme (relaxed boomer): when you're older you'll recognize the importance of coups
trump,955067324,2016,10,25,06,13,25,7294,0,2220,1131,,RT @NumbersMuncher: Donald Trump basically cutting a campaign ad after the 2008 election for his lifelong friends, the Clintons. Wow. https…
trump,116601040,2016,10,25,06,13,25,7294,0,202,21,,RT @NumbersMuncher: Donald Trump basically cutting a campaign ad after the 2008 election for his lifelong friends, the Clintons. Wow. https…
trump,1661616198,2016,10,25,06,13,25,1727,0,0,45915,,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,215257719,2016,10,25,06,13,25,0,0,785,706,World,Huffington Post TERMINATED Me For Questioning Hillary's Health https://t.co/ZpJAm8UCZT #HillaryForPrison #LockHerUp #VoteTrump
trump,742965281342009344,2016,10,25,06,13,25,0,0,3,94,,@Always_Trump  Ask yourself 'who's desperate'?
trump,3311012851,2016,10,25,06,13,25,1727,0,1,77051, USA,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,2329148937,2016,10,25,06,13,25,235,0,1569,660,Truth = Freedom,RT @vivelafra: BREAKING: Former Clinton Fdn CEO Applies for Asylum?  Somebody find Eric Braverman before #Hillary does &gt; https://t.co/hqCCp…
